Judul,Tahun,Penulis,Publikasi,Dikutip,Link
THE RELEVANCE OF AN ISLAMIC APPROACH TO PANCASILA INDOCTRINATION: CONTEXTUAL AND TEXTUAL ANALYSIS,2023,"Authors : HS Fathoni, Febrian, Firman Muntaqo","http://www.sci-int.com/pdf/638214718443776511.pdf 1 (2023), 259-263, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'THE RELEVANCE OF AN ISLAMIC APPROACH TO PANCASILA INDOCTRINATION: CONTEXTUAL AND TEXTUAL ANALYSIS'
Humanist law: law enforcement strategy against child persons of crime in indonesia,2023,"Authors : RF Rini Fathonah, HS Heni Siswanto","International Journal of Advanced Research (IJAR) 11 (1), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Humanist law: law enforcement strategy against child persons of crime in indonesia'
Free Verdict Against Executors of Illegal Fees as Corruption Crimes,2023,"Authors : AMS Agnesia Mutiara Sani, MS Maya Shafira","Corruptio 4 (1), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Free Verdict Against Executors of Illegal Fees as Corruption Crimes'
THE URGENCY OF THE RESTORATIVE JUSTICE  MODEL IN THE ORDER TO HUMANISTIC LAW  ENFORCEMENT,2023,"Authors : E Dewi, E Rifai, AI Fardiansyah","Journal of Namibian Studies, 34(2023): 1179–1193 ISSN: 2197-5523 (online) 34 …, 2023",2 cited,https://scholar.google.com/scholar?q=+intitle:'THE URGENCY OF THE RESTORATIVE JUSTICE  MODEL IN THE ORDER TO HUMANISTIC LAW  ENFORCEMENT'
Implementation of Guarantees for the Rights to Education Correctional Students While in Prison,2023,"Authors : MS Maya Shafira, RM Dona","MUSAMUS LAW REVIEW, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Implementation of Guarantees for the Rights to Education Correctional Students While in Prison'
Non-Penal efforts in countermeasures online prostitution crimes,2023,"Authors : MS Maya Shafira, IF Ahmad, A Aisyah Muda Cemerlang","Annals of Justice and Humanity (AJH), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Non-Penal efforts in countermeasures online prostitution crimes'
Pemberdayaan Masyarakat Pekon Kiluan Negeri dengan Metode Posbindu Plus untuk Pencegahan Penyakit Kronis,2023,"Authors : R Lisiswanti, R Graharti","JURNAL PENGABDIAN MASYARAKAT RUWA JURAI 8 (2), 107-111, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pemberdayaan Masyarakat Pekon Kiluan Negeri dengan Metode Posbindu Plus untuk Pencegahan Penyakit Kronis'
Sosialisasi Manajemen Pemeliharaan Sapi Krui dan Pelayanan Kesehatan Ternak di Kabupaten Pesisir Barat Provinsi Lampung,2023,"Authors : D Kurniawati, K Adhianto, A Dakhlan, T Rafian","Jurnal Pengabdian Fakultas Pertanian Universitas Lampung 2 (1), 41-50, 2023",3 cited,https://scholar.google.com/scholar?q=+intitle:'Sosialisasi Manajemen Pemeliharaan Sapi Krui dan Pelayanan Kesehatan Ternak di Kabupaten Pesisir Barat Provinsi Lampung'
ANALISIS KORELASI DAN REGRESI ANTARA UKURAN-UKURAN TUBUH DENGAN BOBOT BADAN SAPI PERANAKAN ONGOLE BETINA DI KECAMATAN BUAY PEMUKA PELIUNG OKU TIMUR SUMATRA SELATAN,2023,"Authors : P Ramona, M Muhtarudin, K Adhianto, A Dakhlan","Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of …, 2023",4 cited,https://scholar.google.com/scholar?q=+intitle:'ANALISIS KORELASI DAN REGRESI ANTARA UKURAN-UKURAN TUBUH DENGAN BOBOT BADAN SAPI PERANAKAN ONGOLE BETINA DI KECAMATAN BUAY PEMUKA PELIUNG OKU TIMUR SUMATRA SELATAN'
KORELASI GENETIKA SIFAT PRODUKSI SEBAGAI DASAR KRITERIA SELEKSI DOMBA LOKAL DI PROVINSI LAMPUNG: GENETIC CORRELATION OF PRODUCTION TRAITS AS A BASIS OF LOCAL SHEEP SELECTION …,2023,"Authors : D Kurniawati, K Adhianto, A Dakhlan, T Rafian","Journal Animal Research and Applied Science 4 (1), 9-13, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'KORELASI GENETIKA SIFAT PRODUKSI SEBAGAI DASAR KRITERIA SELEKSI DOMBA LOKAL DI PROVINSI LAMPUNG: GENETIC CORRELATION OF PRODUCTION TRAITS AS A BASIS OF LOCAL SHEEP SELECTION …'
PENGARUH SISTEM PERKANDANGAN TERHADAP TINGKAT INFESTASI DAN JENIS CACING SALURAN PENCERNAAN PADA KAMBING JAWARANDU DI KECAMATAN ADILUWIH KABUPATEN PRINGSEWU PROVINSI LAMPUNG,2023,"Authors : AS Weningtiyas, M Hartono, K Adhianto, PE Santosa","Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of …, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENGARUH SISTEM PERKANDANGAN TERHADAP TINGKAT INFESTASI DAN JENIS CACING SALURAN PENCERNAAN PADA KAMBING JAWARANDU DI KECAMATAN ADILUWIH KABUPATEN PRINGSEWU PROVINSI LAMPUNG'
Pemanfaatan Limbah Plastik Polyethylene Terephthalate (PET) dan Batok Kelapa Sebagai Bahan Baku Paving Block,2023,"Authors : KM Utama, W Warji, W Rahmawati, S Suharyatun","Jurnal Agricultural Biosystem Engineering 2 (2), 262-269, 2023",2 cited,https://scholar.google.com/scholar?q=+intitle:'Pemanfaatan Limbah Plastik Polyethylene Terephthalate (PET) dan Batok Kelapa Sebagai Bahan Baku Paving Block'
Mempelajari Pengaruh Suhu dan Konsentrasi Larutan Garam Terhadap Kadar Telur Asin Ayam,2023,"Authors : T Yassa, T Tamrin, W Rahmawati, W Warji","Jurnal Agricultural Biosystem Engineering 2 (2), 319-324, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Mempelajari Pengaruh Suhu dan Konsentrasi Larutan Garam Terhadap Kadar Telur Asin Ayam'
Pengeringan Kakao Menggunakan Rumah Pengering Hybrid,2023,"Authors : YW Wisnumurti, W Warji, T Tamrin, S Kuncoro","Jurnal Agricultural Biosystem Engineering 2 (2), 325-337, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pengeringan Kakao Menggunakan Rumah Pengering Hybrid'
Mempelajari Sifat Fisik Kerupuk Berbahan Tepung Melinjo Dan Tepung Gaplek,2023,"Authors : AM Febrianty, T Tamrin, S Kuncoro, W Warji","Jurnal Agricultural Biosystem Engineering 2 (2), 298-304, 2023",2 cited,https://scholar.google.com/scholar?q=+intitle:'Mempelajari Sifat Fisik Kerupuk Berbahan Tepung Melinjo Dan Tepung Gaplek'
Rancang Bangun dan Uji Kinerja Alat Pemisah Kernel Sawit dari Cangkangnya dengan Menggunakan Larutan Garam,2023,"Authors : MS Hidayatullah, T Tamrin, O Oktafri, W Warji","Jurnal Agricultural Biosystem Engineering 2 (2), 281-286, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Rancang Bangun dan Uji Kinerja Alat Pemisah Kernel Sawit dari Cangkangnya dengan Menggunakan Larutan Garam'
Preface 2 (2) June 2023,2023,Authors : W Warji,"Jurnal Agricultural Biosystem Engineering 2 (2), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Preface 2 (2) June 2023'
Preface 2 (1) March 2023,2023,Authors : W Warji,"Jurnal Agricultural Biosystem Engineering 2 (1), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Preface 2 (1) March 2023'
Cover Vol 2 No 1 March 2023,2023,Authors : W Warji,"Jurnal Agricultural Biosystem Engineering 2 (1), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Cover Vol 2 No 1 March 2023'
Cover Vol 2 No 3 September 2023,2023,Authors : W Warji,"Jurnal Agricultural Biosystem Engineering 2 (3), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Cover Vol 2 No 3 September 2023'
Analisis Ergonomika Bagian Penghancur pada Mesin Pencacah Pakan Ternak Multiguna,2023,"Authors : O Rahman, S Suharyatun, S Asmara, W Warji","Jurnal Agricultural Biosystem Engineering 2 (4), 575-587, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Analisis Ergonomika Bagian Penghancur pada Mesin Pencacah Pakan Ternak Multiguna'
Kajian Ergonomika Terhadap Penggunaan Mesin Penggoreng Vacuum,2023,"Authors : AS Ramadhanti, FK Wisnu, S Suharyatun, W Warji","Jurnal Agricultural Biosystem Engineering 2 (4), 596-607, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Kajian Ergonomika Terhadap Penggunaan Mesin Penggoreng Vacuum'
Analisis Tingkat Kebisingan pada Workshop Alsintan UPTD Balai Benih Induk Tanaman Pangan dan Alsintan Provinsi Lampung,2023,"Authors : MO Saputra, S Suharyatun, M Telaumbanua, W Warji","Jurnal Agricultural Biosystem Engineering 2 (4), 543-552, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Analisis Tingkat Kebisingan pada Workshop Alsintan UPTD Balai Benih Induk Tanaman Pangan dan Alsintan Provinsi Lampung'
Pengaruh Pola Pengolahan Terhadap Efisiensi Pengolahan Tanah Menggunakan Traktor Tangan,2023,"Authors : A Saputra, S Suharyatun, W Rahmawati, W Warji","Jurnal Agricultural Biosystem Engineering 2 (3), 450-460, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Pola Pengolahan Terhadap Efisiensi Pengolahan Tanah Menggunakan Traktor Tangan'
Analisis Ergonomika Pengoperasian Bagian Pencacah pada Mesin Pencacah Pakan Ternak Multiguna,2023,"Authors : A Anggiana, S Suharyatun, FK Wisnu, W Warji","Jurnal Agricultural Biosystem Engineering 2 (3), 383-392, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Analisis Ergonomika Pengoperasian Bagian Pencacah pada Mesin Pencacah Pakan Ternak Multiguna'
Drying Vanilla using a hybrid dryer.,2023,"Authors : W Warji, T Tamrin, S Kuncoro, B Lanya, H Muzaqi",,2 cited,https://scholar.google.com/scholar?q=+intitle:'Drying Vanilla using a hybrid dryer.'
Pemanfaatan Limbah Serbuk Gergaji Kayu Jati (Tectona grandis) Sebagai Bahan Campuran dalam Pembuatan Paving Block Porous,2023,"Authors : I Rosadi, W Rahmawati, W Warji, S Suharyatun","Jurnal Agricultural Biosystem Engineering 2 (2), 231-240, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Pemanfaatan Limbah Serbuk Gergaji Kayu Jati (Tectona grandis) Sebagai Bahan Campuran dalam Pembuatan Paving Block Porous'
Takdir Islam dalam Perspektif Dakwah: Kajian Faktual Fenomena Generasi Muda Serba Instan di Kabupaten Sleman Yogyakarta,2023,"Authors : MA Yusuf, FI Mujahidah, M Mujiyati","Anida (Aktualisasi Nuansa Ilmu Dakwah) 23 (1), 75-90, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Takdir Islam dalam Perspektif Dakwah: Kajian Faktual Fenomena Generasi Muda Serba Instan di Kabupaten Sleman Yogyakarta'
Management of Educational Facilities and Infrastructure to Create Effective Schools in Elementary Schools in Lampung Province,2023,"Authors : Riswandi, L Wicaksono, Mujiyati","3rd Universitas Lampung International Conference on Social Sciences (ULICoSS …, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Management of Educational Facilities and Infrastructure to Create Effective Schools in Elementary Schools in Lampung Province'
Kemantapan Rencana Pilihan Karier Berdasarkan Pengelompokan Karakteritik Demografis Mahasiswa,2023,"Authors : S Dahlan, RE Andriyanto, E Kurniati, M Mujiyati","Jurnal Inovatif Ilmu Pendidikan 5 (1), 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Kemantapan Rencana Pilihan Karier Berdasarkan Pengelompokan Karakteritik Demografis Mahasiswa'
Systematic Review: Perkembangan Machine Learning pada Sperma Manusia,2023,"Authors : A Aristoteles, A Syarif, FR Lumbanraja","Jurnal Teknoinfo 17 (1), 112-118, 2023",4 cited,https://scholar.google.com/scholar?q=+intitle:'Systematic Review: Perkembangan Machine Learning pada Sperma Manusia'
IMPLEMENTASI SISTEM AGROFORESTRI SEBAGAI UPAYA PENINGKATAN EKONOMI DAN PENCEGAHAN EROSI DI DESA TEBA LIOKH KECAMATAN BATU BRAK KABUPATEN LAMPUNG BARAT,2023,"Authors : YK Wardani, NI Lestari, RA Pratama, RZ Oktarlina, WT Utama, A Syarif, ...","BUGUH: JURNAL PENGABDIAN KEPADA MASYARAKAT 3 (1), 105-111, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'IMPLEMENTASI SISTEM AGROFORESTRI SEBAGAI UPAYA PENINGKATAN EKONOMI DAN PENCEGAHAN EROSI DI DESA TEBA LIOKH KECAMATAN BATU BRAK KABUPATEN LAMPUNG BARAT'
"Pembangunan Peta Virtual 3D untuk Gedung K, Gedung H, Gedung I, dan Gedung R di Fakultas Pertanian Universitas Lampung",2023,"Authors : A Syarif, S Paramitha, A Aristoteles, FR Lumbanraja","Jurnal Pepadun 4 (1), 84-92, 2023",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Pembangunan Peta Virtual 3D untuk Gedung K, Gedung H, Gedung I, dan Gedung R di Fakultas Pertanian Universitas Lampung'"
Sistem Pakar Kasus dan Aturan pada Hukum Kesehatan Indonesia Berbasis Android,2023,"Authors : A Syarif, N Rahmaniyanti, YK Wardani, K Muludi","KLIK-KUMPULAN JURNAL ILMU KOMPUTER 10 (2), 130-146, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Sistem Pakar Kasus dan Aturan pada Hukum Kesehatan Indonesia Berbasis Android'
Implementasi Metode Deep Learning Untuk Klasifikasi Gambar Tulisan Tangan,2023,"Authors : EA Effendi, FR Lumbanraja, A Junaidi, A Syarif","Jurnal Pepadun 4 (2), 100-106, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Implementasi Metode Deep Learning Untuk Klasifikasi Gambar Tulisan Tangan'
Bibliometric analysis: The future of thalassemia disease by utilizing artificial intelligence technology,2023,"Authors : ER Susanto, A Syarif, W Warsito, KN Berawi, H Hidayat","Health Biotechnology and Biopharma (HBB) 7 (3), 30-44, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Bibliometric analysis: The future of thalassemia disease by utilizing artificial intelligence technology'
Peningkatan Potensi Desa Dengan Personal Branding Produk,2023,"Authors : A Syarif, G Arip, DA Dhafa, Y Rahman, AN Azizah, A Zuraida, ...","Jurnal Pengabdian Kepada Masyarakat (JPKM) TABIKPUN 4 (1), 29-38, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Peningkatan Potensi Desa Dengan Personal Branding Produk'
"A Comprehensive Comparative Study of Machine Learning Methods for Chronic Kidney Disease Classification: Decision Tree, Support Vector Machine, and Naive Bayes",2023,"Authors : A Syarif, OD Riana, DA Shofiana, A Junaidi","International Journal of Advanced Computer Science and Applications 14 (10), 2023",2 cited,"https://scholar.google.com/scholar?q=+intitle:'A Comprehensive Comparative Study of Machine Learning Methods for Chronic Kidney Disease Classification: Decision Tree, Support Vector Machine, and Naive Bayes'"
Pengembangan Aplikasi Bus Rapid Transit (BRT) Online Berbasis Android di Kota Bandar Lampung,2023,"Authors : A Syarif, D Yanti, K Muludi, D Kurniawan","Jurnal Pepadun 4 (3), 298-307, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pengembangan Aplikasi Bus Rapid Transit (BRT) Online Berbasis Android di Kota Bandar Lampung'
RANCANG BANGUN SISTEM PAKAR PROSES PEMBELAJARAN KEPERAWATAN BERBASIS WEB,2023,"Authors : A Aristoteles, L Suarni, D Sakethi, R Andrian, D Miswar, RN Azhari","Jurnal Teknoinfo 17 (1), 1-9, 2023",2 cited,https://scholar.google.com/scholar?q=+intitle:'RANCANG BANGUN SISTEM PAKAR PROSES PEMBELAJARAN KEPERAWATAN BERBASIS WEB'
Rancang Bangun Sistem Informasi Pelayanan Kelurahan Kota Karang Berbasis Web,2023,"Authors : A Aristoteles, D Miswar, Y Yarmaidi, E Intiha, M Suryani, LM Putri, ...","BUGUH: JURNAL PENGABDIAN KEPADA MASYARAKAT 3 (1), 48-55, 2023",3 cited,https://scholar.google.com/scholar?q=+intitle:'Rancang Bangun Sistem Informasi Pelayanan Kelurahan Kota Karang Berbasis Web'
PENGARUH PENYIMPANAN DARAH TERHADAP KADAR HEMOGLOBIN PADA KOMPONEN WHOLE BLOOD DARAH DONOR SEBELUM DAN SESUDAH DISIMPAN SELAMA SATU MINGGU DI PMI KOTA MEDAN,2023,"Authors : A Prayoga, B Bastian, A Aristoteles","Journal of Indonesian Medical Laboratory and Science (JoIMedLabS) 4 (1), 78-86, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENGARUH PENYIMPANAN DARAH TERHADAP KADAR HEMOGLOBIN PADA KOMPONEN WHOLE BLOOD DARAH DONOR SEBELUM DAN SESUDAH DISIMPAN SELAMA SATU MINGGU DI PMI KOTA MEDAN'
PEMBERDAYAAN IBU-IBU PKK KELURAHAN SUKABUMI INDAH,2023,"Authors : D Miswar, A Aristoteles, Y Yarmaidi, MA Yusuf, MS Syarief, MS Fadhel, ...","BUGUH: JURNAL PENGABDIAN KEPADA MASYARAKAT 3 (1), 68-75, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'PEMBERDAYAAN IBU-IBU PKK KELURAHAN SUKABUMI INDAH'
Perbedaan jumlah koloni jamur Candida albicans pada media sabouraud dextrose agar (SDA) dan media modifikasi biji nangka (Artocarpus heterophyllus lamk),2023,"Authors : A Prayoga, B Bastian, A Aristoteles","Journal of Indonesian Medical Laboratory and Science (JoIMedLabS) 4 (1), 78-86, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Perbedaan jumlah koloni jamur Candida albicans pada media sabouraud dextrose agar (SDA) dan media modifikasi biji nangka (Artocarpus heterophyllus lamk)'
v4i1. 25328PEMBUATAN SABUN CUCI PIRING MASA PANDEMI COVID-19 DI KELURAHAN CAMPANG RAYAKOTA BANDAR LAMPUNG,2023,"Authors : DM Dedy Miswar, A Aristoteles, Y Yarmaidi, P Anindya","TRIBUTE: JOURNALOFCOMMUNITYSERVICES 4 (1), 1-7, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'v4i1. 25328PEMBUATAN SABUN CUCI PIRING MASA PANDEMI COVID-19 DI KELURAHAN CAMPANG RAYAKOTA BANDAR LAMPUNG'
Aplikasi Peta Interaktif 3D Pada Gedung Fakultas Teknik Universitas Lampung,2023,"Authors : A Aristoteles, D Fitrialoka, YTU Yohana Tri Utami","JTKSI (Jurnal Teknologi Komputer dan Sistem Informasi) 6 (2), 128-136, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Aplikasi Peta Interaktif 3D Pada Gedung Fakultas Teknik Universitas Lampung'
"PEMETAAN OBJEK WISATA DESA WAY SINDI HANUAN, KABUPATEN PESISIR BARAT MENGGUNAKAN SISTEM INFORMASI GEOGRAFIS",2023,"Authors : ASC Margaliu, R Safe'i, S Kuncoro, A Aristoteles","BUGUH: JURNAL PENGABDIAN KEPADA MASYARAKAT 3 (2), 165-169, 2023",0 cited,"https://scholar.google.com/scholar?q=+intitle:'PEMETAAN OBJEK WISATA DESA WAY SINDI HANUAN, KABUPATEN PESISIR BARAT MENGGUNAKAN SISTEM INFORMASI GEOGRAFIS'"
THE CONCEPT OF OMNIBUS LAW IN THE INDONESIAN LEGISLATION SYSTEM: IS INTEGRATION POSSIBLE?,2023,"Authors : R Rudy, IKDP Yoga, RC Kurniawan, A Aristoteles, C Ali, R Perdana","Relações Internacionais no Mundo Atual 4 (42), 374-396, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'THE CONCEPT OF OMNIBUS LAW IN THE INDONESIAN LEGISLATION SYSTEM: IS INTEGRATION POSSIBLE?'
Design of Virtual Map Building Using Unity 3D with MDLC Method,2023,"Authors : A Aristoteles, A Jasmine, YT Utami, FR Lumbanraja","International Journal of Electronics and Communications Systems 3 (1), 21-32, 2023",5 cited,https://scholar.google.com/scholar?q=+intitle:'Design of Virtual Map Building Using Unity 3D with MDLC Method'
Development of Nursing Process Expert System for Android-based Nursing Student Learning,2023,"Authors : A Aristoteles, PK Abie, AR Irawati, D Sakethi, S Lisa, DM Dedy Miswar, ...","International Journal of Advanced Computer Science and Applications 14 (11 …, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Development of Nursing Process Expert System for Android-based Nursing Student Learning'
Pengembangan Aplikasi Kelas Ibu Hamil Berbasis Android Menggunakan Framework Flutter,2023,"Authors : A Aristoteles, FY Raymond, S Sudarmi, M Muhaqiqin, AR Irawati","KLIK: Kumpulan jurnaL Ilmu Komputer 10 (3), 320-331, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pengembangan Aplikasi Kelas Ibu Hamil Berbasis Android Menggunakan Framework Flutter'
Rancang Bangun Aplikasi Audit Internal Fakultas (Studi Kasus: FMIPA Universitas Lampung),2023,"Authors : DD Ayu, T Tristiyanto, A Aristoteles","Jurnal Pepadun 4 (1), 47-55, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Rancang Bangun Aplikasi Audit Internal Fakultas (Studi Kasus: FMIPA Universitas Lampung)'
Pengaruh Penggunaan Media Alternatif Bekatul Beras Merah (Oryza nivara) dan Beras Putih (Oryza sativa L) terhadap Jumlah Koloni Jamur Candida albicans dengan kontrol Media …,2023,"Authors : B Bastian, GS Rizki, A Aristoteles","Klinikal Sains: Jurnal Analis Kesehatan 11 (2), 156-165, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Penggunaan Media Alternatif Bekatul Beras Merah (Oryza nivara) dan Beras Putih (Oryza sativa L) terhadap Jumlah Koloni Jamur Candida albicans dengan kontrol Media …'
Pengembangan Aplikasi National Early Warning Score 2 (NEWS2) Berbasis Web dalam Penilaian Awal Pasien dengan Penyakit Akut,2023,"Authors : JT Wahyudi, A Fadillah, DR Ramadhani","Masker Medika 11 (2), 346-353, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Pengembangan Aplikasi National Early Warning Score 2 (NEWS2) Berbasis Web dalam Penilaian Awal Pasien dengan Penyakit Akut'
RANCANG BANGUN DAN ANALISIS APLIKASI SISTEM ASRAMA DENGAN MENGUNAKAN FRAMEWORK PIESCES DI ASRAMA IKEST MUHAMMADIYAH PALEMBANG,2023,"Authors : A Fadillah, A Aristoteles, F Ramadhan","JUTIM (Jurnal Teknik Informatika Musirawas) 8 (2), 104-113, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'RANCANG BANGUN DAN ANALISIS APLIKASI SISTEM ASRAMA DENGAN MENGUNAKAN FRAMEWORK PIESCES DI ASRAMA IKEST MUHAMMADIYAH PALEMBANG'
Perbandingan Hasil Mikroskopis Pemeriksaan Eritrosit Menggunakan Garam Dapur Dan Reagen Hayem,2023,Authors : A Aristoteles,"Masker Medika 11 (2), 284-289, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Perbandingan Hasil Mikroskopis Pemeriksaan Eritrosit Menggunakan Garam Dapur Dan Reagen Hayem'
Kualitas Fisik Yoghurt Susu Kambing Dengan Penambahan Ekstrak Jahe Merah,2023,"Authors : V Wanniatie, A Qisthon, D Septinova","Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of …, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Kualitas Fisik Yoghurt Susu Kambing Dengan Penambahan Ekstrak Jahe Merah'
Sifat Fisik Susu Sapi Perah: Studi Kasus Peternakan Sapi Perah Rakyat di Kabupaten Tanggamus,2023,"Authors : AN Shodiq, V Wanniatie, A Qisthon, K Adianto","Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of …, 2023",5 cited,https://scholar.google.com/scholar?q=+intitle:'Sifat Fisik Susu Sapi Perah: Studi Kasus Peternakan Sapi Perah Rakyat di Kabupaten Tanggamus'
"SUBSTITUSI SILASE DAUN SINGKONG DENGAN SILASE RUMPUT PAKCHONG TERHADAP KADAR LEMAK, BERAT JENIS, DAN BKTL SUSU KAMBING PE",2023,"Authors : Y Lestari, V Wanniatie, F Fathul, A Qisthon","Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of …, 2023",2 cited,"https://scholar.google.com/scholar?q=+intitle:'SUBSTITUSI SILASE DAUN SINGKONG DENGAN SILASE RUMPUT PAKCHONG TERHADAP KADAR LEMAK, BERAT JENIS, DAN BKTL SUSU KAMBING PE'"
KUALITAS ORGANOLEPTIK DAN VISKOSITAS SUSU KAMBING PE PADA SUBTITUSI SILASE DAUN SINGKONG DENGAN SILASE RUMPUT PAKCHONG,2023,"Authors : Z Myhandi, V Wanniatie, L Liman, A Qisthon","Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of …, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'KUALITAS ORGANOLEPTIK DAN VISKOSITAS SUSU KAMBING PE PADA SUBTITUSI SILASE DAUN SINGKONG DENGAN SILASE RUMPUT PAKCHONG'
"Diseminasi Tata Laksana Reproduksi, Kesehatan, dan Sanitasi Kandang serta Aplikasi Pengobatan Massal Ternak Sapi Potong di Desa Tambak Jaya Kecamatan Way Tenong Kabupaten …",2023,"Authors : A Qisthon, V Wanniatie, R Ermawati, MMP Sirat","Jurnal Pengabdian Fakultas Pertanian Universitas Lampung 2 (1), 143-160, 2023",6 cited,"https://scholar.google.com/scholar?q=+intitle:'Diseminasi Tata Laksana Reproduksi, Kesehatan, dan Sanitasi Kandang serta Aplikasi Pengobatan Massal Ternak Sapi Potong di Desa Tambak Jaya Kecamatan Way Tenong Kabupaten …'"
Klasifikasi Skala Kerapatan dan Transparansi Tajuk Jenis Daun Jarum dengan VGG16: Classification of Density and Transparency Scales of Needle Leaf Types with VGG16,2023,"Authors : FR Tarigan, R Andrian, R Safe'i","MALCOM: Indonesian Journal of Machine Learning and Computer Science 3 (2 …, 2023",1 cited,https://scholar.google.com/scholar?q=+intitle:'Klasifikasi Skala Kerapatan dan Transparansi Tajuk Jenis Daun Jarum dengan VGG16: Classification of Density and Transparency Scales of Needle Leaf Types with VGG16'
"The Influence of Community Participation on Health Trends in the Mangrove Forest of Labuhan Maringgai District, East Lampung Regency",2023,"Authors : MI Nurfaizi, R Safe’i","IOP Conference Series: Earth and Environmental Science 1277 (1), 012022, 2023",0 cited,"https://scholar.google.com/scholar?q=+intitle:'The Influence of Community Participation on Health Trends in the Mangrove Forest of Labuhan Maringgai District, East Lampung Regency'"
Correlation of Tree Health Productivity Indicators with Tree Carbon Stock Estimation (Case Study of Lampung Mangrove Center),2023,"Authors : AN Syahiib, R Safe’i, C Wulandari","IOP Conference Series: Earth and Environmental Science 1277 (1), 012002, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Correlation of Tree Health Productivity Indicators with Tree Carbon Stock Estimation (Case Study of Lampung Mangrove Center)'
Level of Participation of Conservation Partners in the Health Management of Conservation Forests (Case Study in the Tahura War Utilization Block),2023,"Authors : S Tapasya, R Safe’i, MK Tsani","IOP Conference Series: Earth and Environmental Science 1277 (1), 012015, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'Level of Participation of Conservation Partners in the Health Management of Conservation Forests (Case Study in the Tahura War Utilization Block)'
MobileNet untuk Identifikasi Skala Kerapatan dan Transparansi Tajuk Pohon Daun Lebar,2023,"Authors : F Sofiyana, R Andrian, R Safe'i","KLIK: Kajian Ilmiah Informatika dan Komputer 4 (3), 1850-1859, 2023",0 cited,https://scholar.google.com/scholar?q=+intitle:'MobileNet untuk Identifikasi Skala Kerapatan dan Transparansi Tajuk Pohon Daun Lebar'
